OpenUXbuild,Data-driven approaches to the constructed user experience,,,,,,,,
Stage:,(Sandbox | Development | Staging | Production),,,,,,,,
Description:,Your project description here.,,,,,,,,
Date,Status,Process,Master Notes,Project,Status,Date,Notes,Code,Example(s)
,,"Nodewords (module) -- Nodewords is great for SEO because it allows you to set meta tags for each drupal page or node. This gives you awesome control over what keywords and descriptions are used on each page of your site, and if used correctly can really help your rankings. It helps out with SEO and keeps google’s attention by constantly updating content with new keywords.",,,,,,,
,,"(Alt.) Metatag (module) allows one to have complete control over the characteristics of a page. For example, you may configure a page title, description metatag, canonical tag, author and publisher markups, robots meta-tag, and many more things on a site wide, page type based and custom basis. This module is a must have irrespective of your site because this allows you to configure your page for search engines. Search engine traffic is a must have for most websites and without this, it is highly unlikely that you get some.",,,,,,,
,,Token - Metatag requires Token (module),,,,,,,
,,XML Sitemap (module) -- Google’s webmaster guidelines say that you should create an XML sitemap and submit it regularly to Google for the proper indexing of your page. The XML sitemap module combines it with cron job and regularly updates your sitemap and submits it to search engines. You can decide what should be there in the sitemap and what should not be. Adding parameters such as priority is just a breeze.,,,,,,,
,,"Pathauto (module) --- By default, any content at Drupal is given URLs like these: yoursite.com/node/123123. These URLs are neither human friendly nor search engine friendly. Pathauto allows one to specify alternative URLs to pages. These URLs can be generated based on a preset pattern using Token, or they can be edited at a per node basis at the content creation form. So you can easily replace default URLs of your sites with yoursite.com/title-of-your-content. This is a must do from SEO point of view as human friendly URLs are one among the standard SEO practices.",,,,,,,
,,"Scheduler (module) -- The Scheduler Module allows you to create a piece of content and choose a day for it to become public, instead of having to go back in yourself and set it to public on the day it needs to go live.",,,,,,,
,,Superfish (module) - creates jQuery dropdown menus,,,,,,,
,,Devel (module) - good for development,,,,,,,
,,LoginToboggan (module) user management/login,,,,,,,
,,"Node Privacy By Role (module) Manage which roles can view, edit, and/or delete nodes by content type (default) or on a per-node basis (overriding defaults on each node).",,,,,,,
,,,,,,,,,
,,Basic Security,,,,,,,
,,"Mollom (module) 7.x-2.10 -- Includes: Mollom (web form security, the best there is for Drupal)",,,,,,,
,,Security Review (m),,,,,,,
,,Automated Logout (m),,,,,,,
,,Session Limit (m),,,,,,,
,,Username Enumeration Prevention (m),,,,,,,
,,Secure Login (m),,,,,,,
,,Password Policy (m),,,,,,,
,,Login Security (m),,,,,,,
,,Input Filters (core) (m),,,,,,,
,,Security Kit  (m),,,,,,,
,,Content Security Policy  (m),,,,,,,
,,HTML Purifier  (m),,,,,,,
,,Captcha (m),,,,,,,
,,Mother May I (module) - adds secret word that only humans can solve to allow form submission.,,,,,,,
,,HoneyPot (m),,,,,,,
,,,,,,,,,
,,Corporate Audit Security (additional),,,,,,,
,,Coder (m),,,,,,,
,,Generate Password (m),,,,,,,
,,Logging and Alerts  (m),,,,,,,
,,MD5 Check  (m),,,,,,,
,,Password Policy  (m),,,,,,,
,,Flood Control  (m),,,,,,,
,,PCI Update (m),,,,,,,
,,Hacked  (m),,,,,,,
,,Login Security  (m),,,,,,,
,,*Paranoia,Identifies PHP vulnerabilities. *Disable when not in use,,,,,,
,,,,,,,,,
,,,,,,,,,
,,SEO Checklist (m) -,,,,,,,
,,"User analytics, Google, OWA (m) -",,,,,,,
,,"Homebox (m) or Workbench (m) for admins, CP -",,,,,,,
,,Features (m) - duplicate setups multiple sites,,,,,,,
,,Mass Contact ,"Send emails to users, Roles",,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
THEMING,,,,,,,,,
KEYWORDS,"Hypertext, HTTP, DOM, Drupal, WordPress, Joomla, Dynamic UI, Fonts, Color, Bit Depth, Resolution, Screen Size, Viewport, Web View, CSS, Javascript, HTML",,,,,,,,
,,(This process started with existing Drupal docs https://www.drupal.org/node/313510 and I am improving on it in this documentation. Another good reference: http://neemtree.com.au/drupal-theming-designers),,,,,,,
,,,,,,,,,
0/0/14,,“IST 2015” - Creating a Custom Drupal Theme (ist.psu.edu in this case study),,,,,,,
0/0/14,,I. Initial Site Build Step,,,,,,,
,,"Build out a full HTML, CSS, Js version of the site (referred to hereafter as the “html site”). Get this up and running.",,,,,,,
,,Make a backup or two of the html site for safe keeping.,,,,,,,
,,Install and get running a plain vanilla latest Drupal instance with basic theme running in development environment. (istdrupaldev.ist.psu.edu),,,,,,,
,,Create a new custom theme folder in the Drupal site file system at /sites/all/themes/new_theme_name and name it whatever you want. This should be the name of your new custom theme.,,,,,,,
,,"Copy the html site's index.html (or index.php, etc.) file into the new Drupal theme folder and rename it page.tpl.php.",,,,,,,
,,"The page.tpl.php file starts after the <body> tag and ends before the </body> tag, so you do not need to worry about the doctype, html, or head tags.",,,,,,,
,,"Delete these lines of code from the page.tpl.php to clean out some unneeded, redundant code.",,,,,,,
,,"This is the recommended way to start your page, rather than just using <html>.",,,,,,,
,,Copy the html.tpl.php file from your Drupal modules/system folder to your new custom theme folder and make whatever changes you'd like.,,,,,,,
,,CSS — Copy your css directory into the new Drupal theme in same directory as page.tpl.php and html.tpl.php.,,,,,,,
,,"Add your stylesheet link tags to the html.tpl.php file in the <head> section, path is relative to the site root.",,,,,,,
,,"Example: <link rel=""stylesheet"" href=""/sites/all/themes/blue_whale/css/theme.css"">",,,,,,,
,,Js — Copy your Js folder and files into the new Drupal theme in same directory as page.tpl.php and html.tpl.php.,,,,,,,
,,In html.tpl.php make sure your Js paths are relative to the site root.,,,,,,,
,,"Example: <script src=""/sites/all/themes/blue_whale/js/vendor/jquery.1.11.1.js""></script>",,,,,,,
,,The Js should be working on the Drupal site because you had it working right in the html site. Double check your file paths if needed. — Something to look at might be putting Js into $page_bottom for faster load times and to get it out of page.tpl.php.,,,,,,,
,,jQuery — same as Js.,,,,,,,
,,Images — Copy your img folder and files into the new Drupal theme in same directory as page.tpl.php and html.tpl.php.,,,,,,,
,,Make sure your img paths are relative to the site root.,,,,,,,
,,"Example: <img src=""/sites/all/themes/blue_whale/img/hp-carousel-1.jpg"" alt="""">",,,,,,,
,,Fonts — Copy your fonts folder and files into the new Drupal theme in same directory as page.tpl.php and html.tpl.php.,,,,,,,
,,Make sure your font paths are relative to the site root.,,,,,,,
,,"Create a custom_theme.info file - Like all Drupal themes, your custom theme needs a theme_name.info file. To create your own for your new theme, simply create a new text file, name it your_theme_name.info (no spaces allowed) and populate it with the following code:",,,,,,,
,,name = The name of your theme,,,,,,,
,,description = A general description of your theme.,,,,,,,
,,package = Core,,,,,,,
,,version = VERSION,,,,,,,
,,core = 7.x,,,,,,,
,,stylesheets[all][] = styles.css,,,,,,,
,,regions[page_top] = Page top,,,,,,,
,,regions[header] = Header,,,,,,,
,,regions[highlight] = Highlight,,,,,,,
,,regions[help] = Help,,,,,,,
,,regions[content] = Content,,,,,,,
,,regions[sidebar_first] = First sidebar,,,,,,,
,,regions[sidebar_second] = Second sidebar,,,,,,,
,,regions[footer] = Footer,,,,,,,
,,regions[page_bottom] = Page bottom,,,,,,,
,,"The page_top and page_bottom regions are required by the default html.tpl.php, so leave them in there. The ""regions"" portion after style.css includes all of Drupal's ""standard"" regions, and is recommended so that you can easily remove regions you don't want to use, or add custom regions. If you want to add custom regions, you must manually include any of the default ones you wish to keep as well or the defaults will disappear from your theme (simply copy/paste them from this page or another theme). If you want to add a custom region, simply copy one of the region lines and rename it.",,,,,,,
0/0/14,,Create a custom screenshot thumbnail graphic for the theme. This will show up in the Admin menu when selecting a theme for your site.,,,,,,,
,,Make it 294 x 219 px,,,,,,,
,,name it screenshot.png,,,,,,,
,,"You should now be able to go into your working Drupal site, install and enable as default the new custom theme. The Drupal site will now be a working Drupal site that looks exactly like the starter html theme. http://istdrupaldev.ist.psu.edu",,,,,,,
,,"Some tweaks may be needed for things like css, javascript, fonts, and images. For more on these areas, revisit the respective steps above. It is helpful to have a browser window up with the html site running to make sure you have all parts in place and showing up/functioning in the new Drupal site. Using Firebug to find missing items is very helpful at this stage.",,,,,,,
,,"NOTE: at this stage you will need to add the sidebar php hooks into your page.tpl.php so that when the custom theme is enabled, you can log in and out. Without these hooks in place you will lock yourself out of your new site. See next steps for more.",,,,,,,
0/0/14,,The login block can be moved from sidebar_first or other blocks via the block manager,,,,,,,
,,The block won’t show up if you’re logged in : |,,,,,,,
0/0/14,,Issues to watch for —,,,,,,,
,,"z-index conflicts — The HTML site uses very high z-index settings for top log, navigation, etc. These conflict and overwrite the Drupal overlay admin panels in a Drupal environment.",,,,,,,
0/0/14,,Fix 1: Turn off overlay (module) for admin screens,,,,,,,
0/0/14,,"Fix 2: delete the z-index for these areas in cssStill seems buggy, I am thinking this is caused by many other z-index settings that are causing conflicts; contacted Andy to see if he’s see it before.",,,,,,,
,,.branding .psu-shield on line 5523 in theme.css,,,,,,,
,,.mainnav-container,,,,,,,
,,.topnav .nav .topnav-link on line 5667,,,,,,,
0/0/14,,"Issue to resolve, in Status Report ???",,,,,,,
,,,,,,,,,
,,,,,,,,,
0/0/14,,"II. Integrate Dynamic (Drupal) Content and the “Static"" Theme ",,,,,,,
,,,,,,,,,
,,,,,,,,,
0/0/14,,"Some questions to answer to progress the ""User Content Admin"" role and satisfy their requirements for using the site to manage the site.",,,,,,,
,,Role for content providers-managers: “User Content Admin”A: Created new content provider role.,,,,,,,
,,"This is highest content manager-type role, can admin Users and Content",,,,,,,
,,Role for content providers-managers: “Content Provider”A: Created new content provider role.,,,,,,,
,,"This is lowest content manager-type role, can admin Content only",,,,,,,
,,Created in istdrupaldev.ist.psu.edu:,,,,,,,
,,"un: greg_CP, pw: xxx  Created test user.",,,,,,,
,,How does CP log in?/What does it look like?A: Login at bottom of home screen,,,,,,,
,,What do they see on login?A: The Admin menu with only the functionality available that the CP role is allowed to have.,,,,,,,
,,"Admin menu for CP?A: Yes, limited. See #4.",,,,,,,
,,Create some content in the Drupal site. You will need some content here to pull into the new theme.,,,,,,,
,,It’s a good idea to create a navigation that matches the html theme.,,,,,,,
,,It’s also a good idea to match the content that is in the html theme.,,,,,,,
,,How do they CRUD:,,,,,,,
,,New page?A: Through the limited admin menu at top.,,,,,,,
,,New article?A: Through the limited admin menu at top.,,,,,,,
,,New news?A: Through the limited admin menu at top.,,,,,,,
,,Other users?A: Through the limited admin menu at top. UCAs cannot admin Roles. only Admins can.,,,,,,,
,,News on slider?A:,,,,,,,
,,How do they log out?A: Logout link in admin menu.,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0/0/14,,A. Sidebar(s) Content,,,,,,,
,,Follow these steps to add the first areas of dynamic content to the new custom theme index screen. NOTE: All of the php code for the remainder of this tutorial goes into page.tpl.php.,,,,,,,
,,,,,,,,,
0/0/14,,"Adding sidebars content — Most websites have a left and/or right column next to the ""main"" larger content area. These side bars usually contain various features and information (for instance a log-in form, navigation, recent comments, etc).",,,,,,,
,,"In Drupal these features/information are called ""Blocks"", and you can customize where they show up on your page by going to Administer > Site building > Blocks (admin/build/block).",,,,,,,
,,"In order for Drupal to know where to put the Blocks though, you need to add some ""placeholders"" to your theme (Drupal calls these placeholders ""Regions"").",,,,,,,
,,"There are more of these placeholders available (and you can create your own custom ones too) but it's important to add the side bar one(s) at first, since the admin menu appears in them.",,,,,,,
,,Add the below Region(s) to your side bar —,,,,,,,
,,<?php print render ($page['sidebar_first']); ?> ...and/or…,,,,,,,
,,<?php print render ($page['sidebar_second']); ?>,,,,,,,
,,,,,,,,,
0/0/14,,B. Menu System and Navigation,,,,,,,
,,,,,,,,,
,,Follow these steps to add the dynamic menu system including navigation.,,,,,,,
,,,,,,,,,
,,"[This is probably Drupal 6 —> ] Drupal's default menu for your site's content is called Primary Links. There is also a Secondary Links menu which can show related sub-pages under the Primary menu. When stripped of all images and styles, a menu in Drupal is nothing more than a nested unordered list, in plain HTML, with links for each list item. You can use CSS to style a menu in any way you want; changing how it looks, whether it is horizontal (like tabs) or vertical, etc.",,,,,,,
,,,,,,,,,
,,"To make the Primary and Secondary Links menus appear on your site, paste the following into either the top area of your theme (for instance, if your menu is going to be styled as tabs or buttons), or in the sidebar area (for instance if you plan to have your menu show vertically in the sidebar).",,,,,,,
,,,,,,,,,
,,"Simple way: Here's the simple version to use, if you're already sure you want to use ""both"" Primary and Secondary Links (or feel free to delete the Secondary Links portion if you don't need it):",,,,,,,
,,,,,,,,,
,,"<div id=""primary"">",,,,,,,
,,"<?php print theme('links', $primary_links); ?>",,,,,,,
,,</div> <!-- /#primary -->,,,,,,,
,,"<div id=""secondary"">",,,,,,,
,,"<?php print theme('links', $secondary_links); ?>",,,,,,,
,,</div> <!-- /#secondary -->,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,"More flexible way: If you're not sure that you will have both Primary and Secondary Links, you could use the following code instead (it's the same, but just does a ""check"" to see if the menus are enabled, and only shows them if they are):",,,,,,,
,,,,,,,,,
,,<?php if ($primary_links): ?>,,,,,,,
,,"<div id=""primary"">",,,,,,,
,,"<?php print theme('links', $primary_links); ?>",,,,,,,
,,</div> <!-- /#primary -->,,,,,,,
,,<?php endif; ?>,,,,,,,
,,<?php if ($secondary_links): ?>,,,,,,,
,,"<div id=""secondary"">",,,,,,,
,,"<?php print theme('links', $secondary_links); ?>",,,,,,,
,,</div> <!-- /#secondary -->,,,,,,,
,,<?php endif; ?>,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,"For Drupal 7: Primary and secondary links are now ""main"" and ""secondary"" menu.",,,,,,,
,,,,,,,,,
,,"<div id=""menu"">",,,,,,,
,,"<?php if (isset($secondary_menu)) { ?><?php print theme('links', $secondary_menu, array('class' => 'links', 'id' => 'subnavlist')); ?><?php } ?>",,,,,,,
,,"<?php if (isset($main_menu)) { ?><?php print theme('links', $main_menu, array('class' => 'links', 'id' => 'navlist')) ?><?php } ?>",,,,,,,
,,</div>,,,,,,,
,,,,,,,,,
,,Note: the above code might be wrong. Try this:,,,,,,,
,,,,,,,,,
,,"print theme('links__system_main_menu', array('links' => $main_menu, 'attributes' => array('id' => 'main-menu', 'class' => array('links', 'inline', 'clearfix'))));",,,,,,,
,,,,,,,,,
,,One more method for D7 that seems to work:,,,,,,,
,,,,,,,,,
,,<?php print drupal_render(menu_tree('main-menu')); ?>,,,,,,,
,,,,,,,,,
,,For Drupal 7 you also need to enable the main menu and secondary menu features in your theme's info file:,,,,,,,
,,,,,,,,,
,,features[] = main_menu,,,,,,,
,,features[] = secondary_menu,,,,,,,
,,,,,,,,,
0/0/14,,"This puts the header Region in the page, then put the Main Menu block in the header region, but I can’t style it !!!",,,,,,,
,,,,,,,,,
,,<!-- (START) GTO1 Adding dynamic main menu -->,,,,,,,
,,<?php print render ($page['header']); ?>,,,,,,,
,,<!-- (END) GTO1 Adding dynamic main menu -->,,,,,,,
,,,,,,,,,
,,,,,,,,,
0/0/14,,<!-- (START) GTO1 Adding dynamic main menu -->,,,,,,,
,,"<div class=""mainnav-container navbar hidden-xs"" role=""navigation"" data-spy=""affix"" data-offset-top=""130"" data-offset-bottom=""200"">",,,,,,,
,,"<div class=""container"">",,,,,,,
,,"<div class=""mainnav"">",,,,,,,
,,"<div class=""nav-drupal"">",,,,,,,
,,<?php print render ($page['header']); ?>,,,,,,,
,,</div></div>,,,,,,,
,,</div>,,,,,,,
,,</div>,,,,,,,
,,<!-- (END) GTO1 Adding dynamic main menu -->,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0/0/14,,C. Main Content,,,,,,,
,,Follow these steps to add the main content of the page.,,,,,,,
,,"At this point, you've added the ""framework"" of your site's layout which surrounds every page, and is generally similar or the same throughout the entire site. Now though, it's time to include the area where actual Content will be displayed in the template (different content depending on the page being viewed, of course).",,,,,,,
,,,,,,,,,
0/0/14,,"Simply locate the spot in your template where the main content is to be displayed (usually the center of the page, after the header and between any sidebars), and paste the below code in that spot (if you'd like to re-order things feel free, but otherwise you can simply paste this as-is):",,,,,,,
,,,,,,,,,
,,<?php if ($breadcrumb || $title|| $messages || $tabs || $action_links): ?>,,,,,,,
,,,,,,,,,
,,"<div id=""content-header"">",,,,,,,
,,<?php print $breadcrumb; ?>,,,,,,,
,,<?php if ($page['highlight']): ?>,,,,,,,
,,"<div id=""highlight""><?php print render($page['highlight']) ?></div>",,,,,,,
,,<?php endif; ?>,,,,,,,
,,<?php if ($title): ?>,,,,,,,
,,"<h1 class=""title""><?php print $title; ?></h1>",,,,,,,
,,<?php endif; ?>,,,,,,,
,,<?php print $messages; ?>,,,,,,,
,,<?php print render($page['help']); ?>,,,,,,,
,,<?php if ($tabs): ?>,,,,,,,
,,"<div class=""tabs""><?php print render($tabs); ?></div>",,,,,,,
,,<?php endif; ?>,,,,,,,
,,<?php if ($action_links): ?>,,,,,,,
,,"<ul class=""action-links""><?php print render($action_links); ?></ul>",,,,,,,
,,<?php endif; ?>,,,,,,,
,,</div> <!-- /#content-header -->,,,,,,,
,,<?php endif; ?>,,,,,,,
,,"<div id=""content-area"">",,,,,,,
,,<?php print render($page['content']) ?>,,,,,,,
,,</div>,,,,,,,
,,,,,,,,,
,,,,,,,,,
0/0/14,,D. Footer and Footer Message,,,,,,,
,,Follow these steps to add the footer and it’s content.,,,,,,,
,,Manage what goes into the Drupal Footer in the Blocks manager,,,,,,,
,,Then put in page.tpl.php <?php print render($page['footer']); ?>,,,,,,,
,,,,,,,,,
0/0/14,,E. Final tag at the bottom of your theme,,,,,,,
,,Follow these steps to add the closing tags.,,,,,,,
,,"Paste the following at the end of your page.tpl.php file. You must have this tag at the bottom, which will dynamically include any scripts that need to appear at the bottom of the page, as well as close up any loose ends and tags that might have been left open:",,,,,,,
,,,,,,,,,
,,<?php print $closure; ?>,,,,,,,
,,</body>,,,,,,,
,,</html>,,,,,,,
,,,,,,,,,
,,,,,,,,,
0/0/14,,III. Integrate the Interior Themed Pages ,,,,,,,
,,Add the second tier html template.,,,,,,,
,,,,,,,,,
